,0,1,2,3,4,5,6,7,8,9
0,517.1805789974331,460.1375023285051,485.8975727067123,507.4522459221271,475.0018544387316,469.6222770919662,431.3618688726962,456.57552049771493,450.3077408946253,428.88502638929197
1,454.10633130197823,431.01925016261544,444.8275755408797,437.5512685890427,486.9130771451189,498.4316068168134,479.3580582775929,495.3427451017035,466.56652191419056,462.38491797427525
2,458.06856301088465,435.69012288785893,479.9245810284984,472.3247389911938,520.9386957044447,435.83273954736813,458.2882188963341,464.7423978655505,453.42370726580884,428.47237454472213
3,426.6382663546807,456.42081261320504,431.3234712876679,469.9262959107559,434.2165524010561,431.32347128766787,472.81544567068516,425.07777094935057,476.9935733221312,492.2511637658508
4,456.59450829493653,436.89531595029086,467.54180903539697,457.10685390893923,428.2638959138231,437.7229916841618,491.54071145027063,429.5928948364671,480.9243069451951,439.13948944146574
5,494.6584194945662,452.0158549530774,473.9480387496272,439.52002251526574,460.0682805082519,513.955416299789,451.2155059256079,433.13879805300695,438.6502457241369,509.9651026065749
6,425.07777094935045,462.0002268158738,513.1636411451012,452.0111895111381,429.09634359561505,501.69812395393484,442.4367298616565,444.8416194542166,484.7411976501899,486.4112939954228
7,447.2479862163916,431.222324522607,471.66369243220834,424.86929231845164,432.9831268153141,424.8692923184515,459.205659523489,443.5128943896277,496.7660438705,540.2532479020814
8,463.9345994054224,493.8488990191603,457.96655263437026,431.5319499185668,465.4915464910183,459.4744415008615,469.1116162759394,521.7536398558601,477.9399127476722,625.0835805584043
9,455.22149508159197,445.6707151133075,445.2354528650942,448.6880159189496,431.6110064469033,488.33923799775005,514.0658276461878,603.2314883751279,631.2049556086903,612.284052878575
